,user id,question id,statement index,orden,manipulada,deteccion,distancia,variacion agreement,agreement inicial,variacion confianza,confianza inicial,timer
101571,5795,18,101566.0,3.0,0.0,0.0,5.0,0.0,71.0,-14.0,79.0,11182.0
101572,5795,21,101561.0,4.0,1.0,0.0,11.0,-8.0,54.0,-11.0,79.0,17699.0
101608,5796,18,101600.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,100.0,
101609,5796,23,101605.0,2.0,1.0,0.0,4.0,-54.0,77.0,32.0,68.0,
101610,5796,40,101604.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,
101611,5796,16,101601.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,100.0,
101647,5799,17,101643.0,1.0,0.0,0.0,4.0,0.0,12.0,37.0,11.0,54793.0
101648,5799,23,101641.0,2.0,1.0,0.0,7.0,-38.0,69.0,12.0,76.0,14520.0
101649,5799,20,101646.0,3.0,0.0,0.0,3.0,0.0,48.0,-4.0,78.0,18664.0
101650,5799,22,101640.0,4.0,0.0,0.0,10.0,0.0,100.0,9.0,77.0,12878.0
101686,5806,21,101679.0,1.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,895284.0
101687,5806,20,101685.0,2.0,0.0,0.0,2.0,0.0,100.0,-15.0,100.0,333017.0
101688,5806,16,101680.0,3.0,0.0,0.0,8.0,0.0,86.0,26.0,74.0,505327.0
101689,5806,18,101682.0,4.0,1.0,1.0,7.0,-7.0,7.0,18.0,82.0,145177.0
101725,5808,41,101721.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,
101726,5808,18,101722.0,2.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
101727,5808,22,101723.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,
101728,5808,20,101720.0,4.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,
101764,5811,19,101763.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,
101765,5811,17,101760.0,2.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,
101766,5811,16,101762.0,3.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
101767,5811,21,101757.0,4.0,0.0,0.0,10.0,0.0,100.0,0.0,100.0,
101803,5812,18,101801.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,
101804,5812,19,101800.0,2.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
101805,5812,23,101795.0,3.0,0.0,0.0,10.0,0.0,100.0,0.0,100.0,
101806,5812,22,101798.0,4.0,1.0,0.0,8.0,-56.0,78.0,0.0,100.0,
101842,5814,21,101841.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,100.0,
101843,5814,18,101836.0,2.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,
101844,5814,41,101835.0,3.0,0.0,0.0,9.0,0.0,100.0,0.0,100.0,
101845,5814,19,101840.0,4.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,
101881,5815,15,101878.0,1.0,0.0,0.0,3.0,0.0,100.0,4.0,96.0,40279.0
101882,5815,20,101873.0,2.0,0.0,0.0,9.0,0.0,3.0,1.0,99.0,28722.0
101883,5815,39,101874.0,3.0,0.0,0.0,9.0,-49.0,65.0,4.0,95.0,60267.0
101884,5815,16,101880.0,4.0,0.0,0.0,4.0,0.0,96.0,0.0,100.0,19194.0
